Name,Phone,Website,Rating,Reviews,Category,Address,System_Link_ID
Kenneth Ingram,(256) 212-9700,,,,Attorney,"712 Cherokee Rd, Alexander City, AL 35010 ",https://www.google.com/maps/place/Kenneth+Ingram/data=!4m7!3m6!1s0x888c0b6854857d3f:0x88243d57ea7d04cf!8m2!3d32.9374664!4d-85.9531668!16s%2Fg%2F11cs4gqh97!19sChIJP32FVGgLjIgRzwR96lc9JIg?authuser=0&hl=en&rclk=1
Marsha C Mason Law Firm,(256) 329-1313,https://www.mcmasonlaw.com/,5.0,,Bankruptcy attorney,"217 Madison St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Marsha+C+Mason+Law+Firm/data=!4m7!3m6!1s0x888c0b8eaf403785:0x589f1a1f4efabc1f!8m2!3d32.9425102!4d-85.9525228!16s%2Fg%2F11fj9ykbr5!19sChIJhTdAr44LjIgRH7z6Th8an1g?authuser=0&hl=en&rclk=1
"Nancy Kirby Law Office, LLC",(256) 377-2100,https://www.nancykirbylaw.com/,3.9,,Law firm,"14000 AL-22, Rockford, AL 35136 ","https://www.google.com/maps/place/Nancy+Kirby+Law+Office,+LLC/data=!4m7!3m6!1s0x888c03644c90117d:0xc347195cdbea1880!8m2!3d32.8898104!4d-86.2201538!16s%2Fg%2F11g_zlf8m9!19sChIJfRGQTGQDjIgRgBjq21wZR8M?authuser=0&hl=en&rclk=1"
Fuller Joseph,(256) 392-4300,,5.0,,Attorney,"157 Main St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Fuller+Joseph/data=!4m7!3m6!1s0x888c0b6afdcb7f3d:0xbe799a2b9004edff!8m2!3d32.944012!4d-85.9538532!16s%2Fg%2F1tg35_7f!19sChIJPX_L_WoLjIgR_-0EkCuaeb4?authuser=0&hl=en&rclk=1
Gregory Varner & Associates,(888) 378-0246,https://www.gregvarnerlaw.com/,5.0,,Law firm,"104 Court Square, Ashland, AL 36251 ",https://www.google.com/maps/place/Gregory+Varner+%26+Associates/data=!4m7!3m6!1s0x888b913fbfb39a2f:0xcb072f8d342505b2!8m2!3d33.2743557!4d-85.8362967!16s%2Fg%2F11rc9xh0gw!19sChIJL5qzvz-Ri4gRsgUlNI0vB8s?authuser=0&hl=en&rclk=1
"Dr. Vincent Law, MD",(256) 234-4295,https://weence.com/medical/doctors/alexander-city/dr-vincent-law-md/,2.9,,Family practice physician,"859 Airport Dr, Alexander City, AL 35010 ","https://www.google.com/maps/place/Dr.+Vincent+Law,+MD/data=!4m7!3m6!1s0x888c0b9613585cbb:0xe82130027b497092!8m2!3d32.9202718!4d-85.9512515!16s%2Fg%2F1tj1sw14!19sChIJu1xYE5YLjIgRknBJewIwIeg?authuser=0&hl=en&rclk=1"
Treadwell III Mark Allen,(256) 825-9296,https://olivertreadwell.com/,3.8,,Attorney,"129 W Columbus St, Dadeville, AL 36853 ",https://www.google.com/maps/place/Treadwell+III+Mark+Allen/data=!4m7!3m6!1s0x888c7aaa52f390fb:0x60bc7bf72c15eff!8m2!3d32.8304847!4d-85.7642207!16s%2Fg%2F1tfkx295!19sChIJ-5DzUqp6jIgR_17Bcr_HCwY?authuser=0&hl=en&rclk=1
"Chris McCrane, Esq.",(256) 825-7393,,4.0,,Legal services,"167 S Broadnax St, Dadeville, AL 36853 ","https://www.google.com/maps/place/Chris+McCrane,+Esq./data=!4m7!3m6!1s0x888c7ba65a74046f:0x53a1d110276dde78!8m2!3d32.8297575!4d-85.7633122!16s%2Fg%2F11txp1pq0t!19sChIJbwR0WqZ7jIgReN5tJxDRoVM?authuser=0&hl=en&rclk=1"
Sizemore Jr James M,(256) 409-1985,,1.0,,Attorney,"6732 AL-63, Alexander City, AL 35010 ",https://www.google.com/maps/place/Sizemore+Jr+James+M/data=!4m7!3m6!1s0x888c0d6e6d41de77:0xb53a9d670b6fbad8!8m2!3d32.8559115!4d-85.9601877!16s%2Fg%2F1tsr3ztj!19sChIJd95BbW4NjIgR2LpvC2edOrU?authuser=0&hl=en&rclk=1
Thomas David,(256) 234-2547,,4.0,,Attorney,"56 Court Square, Alexander City, AL 35010 ",https://www.google.com/maps/place/Thomas+David/data=!4m7!3m6!1s0x888c0b6b1bba1889:0x853128936aedad0c!8m2!3d32.9434929!4d-85.9544442!16s%2Fg%2F1thf9b4h!19sChIJiRi6G2sLjIgRDK3tapMoMYU?authuser=0&hl=en&rclk=1
