Name,Phone,Website,Rating,Reviews,Category,Address,System_Link_ID
Anderton Plumbing Inc,(256) 685-2701,,3.1,,Plumber,"6101 Co Rd 108, Town Creek, AL 35672 ",https://www.google.com/maps/place/Anderton+Plumbing+Inc/data=!4m7!3m6!1s0x8862a8b90a552b75:0xaa012d0577dca5d8!8m2!3d34.555493!4d-87.397374!16s%2Fg%2F1tf3c871!19sChIJdStVCrmoYogR2KXcdwUtAao?authuser=0&hl=en&rclk=1
A Plumber,(256) 355-6130,http://www.myaplumber.com/,4.9,,Plumber,"2250 Old Moulton Rd, Decatur, AL 35601 ",https://www.google.com/maps/place/A+Plumber/data=!4m7!3m6!1s0x88628316961f0e01:0xc01b7c820414edf6!8m2!3d34.5918871!4d-87.0280791!16s%2Fg%2F1td1qm86!19sChIJAQ4flhaDYogR9u0UBIJ8G8A?authuser=0&hl=en&rclk=1
Southern Pipe & Supply,(256) 234-4236,http://www.southernpipe.com/,4.6,,Plumbing supply store,"2590 Dadeville Rd, Alexander City, AL 35010 ",https://www.google.com/maps/place/Southern+Pipe+%26+Supply/data=!4m7!3m6!1s0x888c734e6625a34b:0x1a16cea416cd7b89!8m2!3d32.9181898!4d-85.9343405!16s%2Fg%2F12lsjyxdh!19sChIJS6MlZk5zjIgRiXvNFqTOFho?authuser=0&hl=en&rclk=1
"AM Plumbing, LLC",(256) 234-5260,http://amplumbing.net/,4.9,,Plumber,"1737 Sewell St, Alexander City, AL 35010 ","https://www.google.com/maps/place/AM+Plumbing,+LLC/data=!4m7!3m6!1s0x888c752dc831aff5:0x6ceddb61fe217b9!8m2!3d32.9775306!4d-85.9289175!16s%2Fg%2F1vljh34t!19sChIJ9a8xyC11jIgRuRfiH7bdzgY?authuser=0&hl=en&rclk=1"
A & M Plumbing & Sewer Services Llc,(256) 234-5260,,5.0,,Plumber,"2473 Martha Cir, Alexander City, AL 35010 ",https://www.google.com/maps/place/A+%26+M+Plumbing+%26+Sewer+Services+Llc/data=!4m7!3m6!1s0x888c752dc831aff5:0xdc249dff58ea976e!8m2!3d32.976672!4d-85.926574!16s%2Fg%2F1263pw632!19sChIJ9a8xyC11jIgRbpfqWP-dJNw?authuser=0&hl=en&rclk=1
Dean Plumbing Company Inc.,(256) 883-6130,https://www.deanplumbing.com/?utm_source=gmb&utm_medium=organic,4.5,,Plumber,"3100 B Leeman Ferry Rd SW, Huntsville, AL 35801 ",https://www.google.com/maps/place/Dean+Plumbing+Company+Inc./data=!4m7!3m6!1s0x88626cc44610b873:0x4c756c6bddffff5b!8m2!3d34.6978269!4d-86.5948512!16s%2Fg%2F1tsr3yhr!19sChIJc7gQRsRsYogRW___3WtsdUw?authuser=0&hl=en&rclk=1
Hardy Plumbing & Construction Inc,(256) 329-8201,,,,Plumber,"316 Stansell Rd, Alexander City, AL 35010 ",https://www.google.com/maps/place/Hardy+Plumbing+%26+Construction+Inc/data=!4m7!3m6!1s0x888b8a570d1c0351:0xcaec16a4b63247fb!8m2!3d33.0465586!4d-85.8865143!16s%2Fg%2F1tp1zl85!19sChIJUQMcDVeKi4gR-0cytqQW7Mo?authuser=0&hl=en&rclk=1
Harold Dean's Appliances & Repairs,(256) 596-0381,,3.3,,Appliance repair service,"339 Campground Rd, Alexander City, AL 35010 ",https://www.google.com/maps/place/Harold+Dean%27s+Appliances+%26+Repairs/data=!4m7!3m6!1s0x888c75347a925ad7:0x5ff7f662f2075eac!8m2!3d32.985201!4d-85.9273673!16s%2Fg%2F1wbrykbf!19sChIJ11qSejR1jIgRrF4H8mL2918?authuser=0&hl=en&rclk=1
Alex City Plumbing,(256) 494-7117,http://www.alexcityplumbing.com/,4.9,,Plumber,"1675 Sewell St, Alexander City, AL 35010 ",https://www.google.com/maps/place/Alex+City+Plumbing/data=!4m7!3m6!1s0x211c58e52ced4489:0x816dda43de8274c3!8m2!3d32.9778279!4d-85.9299556!16s%2Fg%2F11s3xwqysm!19sChIJiUTtLOVYHCERw3SC3kPabYE?authuser=0&hl=en&rclk=1
"Hiller Plumbing, Heating, Cooling & Electrical",(256) 298-8821,https://happyhiller.com/locations/huntsville/?utm_source=gmb&utm_medium=localseo&utm_campaign=local&se_campaign=Internet-LocalSEO,4.9,,Plumber,"1891 Slaughter Rd, Madison, AL 35758 ","https://www.google.com/maps/place/Hiller+Plumbing,+Heating,+Cooling+%26+Electrical/data=!4m7!3m6!1s0x88626b67e2a98921:0xc56702d13b6cb424!8m2!3d34.7529633!4d-86.712422!16s%2Fg%2F1w97w34q!19sChIJIYmp4mdrYogRJLRsO9ECZ8U?authuser=0&hl=en&rclk=1"
All Clear Plumbing & Air,(256) 496-2056,https://allclearplumbingllc.com/,4.9,,Plumber,"1033 Castaway Island Rd, Eclectic, AL 36024 ",https://www.google.com/maps/place/All+Clear+Plumbing+%26+Air/data=!4m7!3m6!1s0x888c15e258f1764f:0xe0782890598e5253!8m2!3d32.699901!4d-85.9412956!16s%2Fg%2F11py4lnlqy!19sChIJT3bxWOIVjIgRU1KOWZAoeOA?authuser=0&hl=en&rclk=1
Rush Electric & Plumbing Inc,,,5.0,,Electrician,"2731 Old Dark Rd, Alexander City, AL 35010 ",https://www.google.com/maps/place/Rush+Electric+%26+Plumbing+Inc/data=!4m7!3m6!1s0x888c0bc792994ce1:0xfadcc619e8c7998b!8m2!3d32.9571657!4d-85.9925576!16s%2Fg%2F1tfj3yj5!19sChIJ4UyZkscLjIgRi5nH6BnG3Po?authuser=0&hl=en&rclk=1
