Name,Phone,Website,Rating,Reviews,Category,Address,System_Link_ID
Griffin Serr Christy,+1 605-229-2001,,3.4,,Lawyer,"418 S Main St, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Griffin+Serr+Christy/data=!4m7!3m6!1s0x52d244e2f4aadaed:0xd53039f4e3779c91!8m2!3d45.4604927!4d-98.4883784!16s%2Fg%2F1tg_fq1g!19sChIJ7dqq9OJE0lIRkZx34_Q5MNU?authuser=0&hl=en&rclk=1
Crew Law Firm LLC,+1 360-637-5026,,,,Lawyer,"Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Crew+Law+Firm+LLC/data=!4m7!3m6!1s0x54923a1916beb1bd:0x3119ac0828782d79!8m2!3d46.9753708!4d-123.8157218!16s%2Fg%2F12621nlyq!19sChIJvbG-Fhk6klQReS14KAisGTE?authuser=0&hl=en&rclk=1
Brown Lewis Janhunen & Spencer,+1 360-532-1960,,3.0,,Law firm,"101 S Main St #2, Montesano, WA 98563, United States ",https://www.google.com/maps/place/Brown+Lewis+Janhunen+%26+Spencer/data=!4m7!3m6!1s0x54923a192c0f093d:0x9931dec646c82d26!8m2!3d46.9812397!4d-123.6010869!16s%2Fg%2F1tj4ydyr!19sChIJPQkPLBk6klQRJi3IRsbeMZk?authuser=0&hl=en&rclk=1
"Sound Defenders, PLLC",+1 360-868-6558,http://sounddefenders.com/,4.0,,Law firm,"108 E 1st St, Aberdeen, WA 98520, United States ","https://www.google.com/maps/place/Sound+Defenders,+PLLC/data=!4m7!3m6!1s0x54923b54b1d901fd:0x113a469e56d84f7e!8m2!3d46.9762897!4d-123.8193575!16s%2Fg%2F11j36r6r_m!19sChIJ_QHZsVQ7klQRfk_YVp5GOhE?authuser=0&hl=en&rclk=1"
Solan Stephen J,+1 360-532-9442,https://solanlaw.com/attorneys/stephen-john-solan/,5.0,,Lawyer,"322 W Heron St, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Solan+Stephen+J/data=!4m7!3m6!1s0x54923a1dd94ea479:0x90b2b260b64f03df!8m2!3d46.9718961!4d-123.8205132!16s%2Fg%2F1tn00yk8!19sChIJeaRO2R06klQR3wNPtmCyspA?authuser=0&hl=en&rclk=1
"Cogley Law Office, Prof. LLC",+1 605-725-8920,http://www.cogleylaw.com/,4.7,,Lawyer,"418 S Main St, Aberdeen, SD 57401, United States ","https://www.google.com/maps/place/Cogley+Law+Office,+Prof.+LLC/data=!4m7!3m6!1s0x52d245ec63d6bf17:0x88c341069785e557!8m2!3d45.4604927!4d-98.4883784!16s%2Fg%2F11fjs6yphj!19sChIJF7_WY-xF0lIRV-WFlwZBw4g?authuser=0&hl=en&rclk=1"
The Campbell Law Firm,+1 360-249-8482,http://www.graysharborattorney.com/,4.4,,Law firm,"115 S, 123 1st St S, Montesano, WA 98563, United States ",https://www.google.com/maps/place/The+Campbell+Law+Firm/data=!4m7!3m6!1s0x54922eff30f0b5ad:0x5111b5907e3e48f0!8m2!3d46.9806878!4d-123.6023427!16s%2Fg%2F1v27v66k!19sChIJrbXwMP8uklQR8Eg-fpC1EVE?authuser=0&hl=en&rclk=1
Richardson Law Firm,+1 605-225-6310,https://richardsonlawsd.com/,5.0,,Law firm,"1 Court St, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Richardson+Law+Firm/data=!4m7!3m6!1s0x52d244e3350c132d:0x7492b64fe099fbda!8m2!3d45.4649647!4d-98.4852956!16s%2Fg%2F1ts1rwx6!19sChIJLRMMNeNE0lIR2vuZ4E-2knQ?authuser=0&hl=en&rclk=1
Lewis Douglas C,+1 360-532-1960,,4.0,,Lawyer,"Bank of America Bldg # 501, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Lewis+Douglas+C/data=!4m7!3m6!1s0x54922a978cabe615:0xd99cc78039438dba!8m2!3d46.9558807!4d-123.3624542!16s%2Fg%2F1tdy456t!19sChIJFearjJcqklQRuo1DOYDHnNk?authuser=0&hl=en&rclk=1
Stewart & Stewart Law Offices,+1 360-249-4342,,3.1,,Lawyer,"101 1st St S, Montesano, WA 98563, United States ",https://www.google.com/maps/place/Stewart+%26+Stewart+Law+Offices/data=!4m7!3m6!1s0x54922eff05d2348b:0xd5ae41df85478f44!8m2!3d46.9811579!4d-123.6022719!16s%2Fg%2F1tlvp78f!19sChIJizTSBf8uklQRRI9Hhd9BrtU?authuser=0&hl=en&rclk=1
Rory King,+1 605-225-2232,http://www.bantzlaw.com/,3.7,,Lawyer,"305 6th Ave SE #5, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Rory+King/data=!4m7!3m6!1s0x52d244e13af75629:0xade4c5f4af457dbc!8m2!3d45.4593358!4d-98.4830117!16s%2Fg%2F1tvq3sd6!19sChIJKVb3OuFE0lIRvH1Fr_TF5K0?authuser=0&hl=en&rclk=1
First Lawyers Trust Co,+1 605-725-2555,,5.0,,Bank,"415 S Main St #400, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/First+Lawyers+Trust+Co/data=!4m7!3m6!1s0x52d244e21d11c2d5:0x79974b7e52994488!8m2!3d45.4604793!4d-98.4878138!16s%2Fg%2F1tvw4l81!19sChIJ1cIRHeJE0lIRiESZUn5Ll3k?authuser=0&hl=en&rclk=1
Gregory B Durr PC,+1 360-532-7727,,,,Lawyer,"305 W 1st St, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Gregory+B+Durr+PC/data=!4m7!3m6!1s0x54923a1fab1fd3d9:0x7a3e2505b20f97a2!8m2!3d46.974252!4d-123.822222!16s%2Fg%2F1vfzdwr7!19sChIJ2dMfqx86klQRopcPsgUlPno?authuser=0&hl=en&rclk=1
Peterson Greg L,+1 605-225-2232,,,,Lawyer,"305 6th Ave SE #5, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Peterson+Greg+L/data=!4m7!3m6!1s0x52d244e13af75629:0x92698de63d93d2e!8m2!3d45.4593358!4d-98.4830117!16s%2Fg%2F1th1ccnh!19sChIJKVb3OuFE0lIRLj3ZY96YJgk?authuser=0&hl=en&rclk=1
Ehrhardt Robert,+1 360-249-3431,,5.0,,Lawyer,"118 Marcy Ave W # 10, Montesano, WA 98563, United States ",https://www.google.com/maps/place/Ehrhardt+Robert/data=!4m7!3m6!1s0x54922eff30b9f94b:0x210554472b9fce50!8m2!3d46.9801913!4d-123.6012244!16s%2Fg%2F1tjz31zz!19sChIJS_m5MP8uklQRUM6fK0dUBSE?authuser=0&hl=en&rclk=1
Jon Gibson Law Office,+1 360-532-9633,,3.0,,Lawyer,"Old World Bldg, 100 S I St #104, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Jon+Gibson+Law+Office/data=!4m7!3m6!1s0x54923a1926a07017:0xb41148088961fbef!8m2!3d46.975516!4d-123.81714!16s%2Fg%2F1vd3vhmt!19sChIJF3CgJhk6klQR7_thiQhIEbQ?authuser=0&hl=en&rclk=1
"Hagen & Bates, P.S.",+1 360-532-6210,http://www.hagenlaw.net/,4.3,,Criminal justice attorney,"316 E 1st St, Aberdeen, WA 98520, United States ","https://www.google.com/maps/place/Hagen+%26+Bates,+P.S./data=!4m7!3m6!1s0x54923a1779fa04e3:0x6ba48fc21f12a28e!8m2!3d46.9777202!4d-123.8169953!16s%2Fg%2F12m9gryw2!19sChIJ4wT6eRc6klQRjqISH8KPpGs?authuser=0&hl=en&rclk=1"
"Dohrer Law Office, Prof. LLC",+1 605-226-1673,,5.0,,Legal services,"418 S Main St, Aberdeen, SD 57401, United States ","https://www.google.com/maps/place/Dohrer+Law+Office,+Prof.+LLC/data=!4m7!3m6!1s0x52d2451adc76627f:0x3670943c81d47670!8m2!3d45.4604927!4d-98.4883784!16s%2Fg%2F11m5q111hw!19sChIJf2J23BpF0lIRcHbUgTyUcDY?authuser=0&hl=en&rclk=1"
Ingram Zelasko & Goodwin LLP: Kupka Erik M,+1 360-533-2865,https://izglaw.com/,5.0,,Lawyer,"120 E 1st St, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Ingram+Zelasko+%26+Goodwin+LLP:+Kupka+Erik+M/data=!4m7!3m6!1s0x54923a18b88210e1:0x366a00d1d8a343fd!8m2!3d46.9766212!4d-123.8189265!16s%2Fg%2F1tk1mp_5!19sChIJ4RCCuBg6klQR_UOj2NEAajY?authuser=0&hl=en&rclk=1
Ingram Zelasko & Goodwin LLP: Morean Gary A,+1 360-533-2865,http://www.izglaw.com/,2.6,,Lawyer,"120 E 1st St, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Ingram+Zelasko+%26+Goodwin+LLP:+Morean+Gary+A/data=!4m7!3m6!1s0x54923a18b88210e1:0x471c8b9ae512faba!8m2!3d46.9766212!4d-123.8189265!16s%2Fg%2F1tr178g7!19sChIJ4RCCuBg6klQRuvoS5ZqLHEc?authuser=0&hl=en&rclk=1
Gerdes & Mcneary P.C,+1 605-622-2100,http://www.dakotalaw.com/,3.9,,Criminal justice attorney,"14 S Main St Suite 303, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Gerdes+%26+Mcneary+P.C/data=!4m7!3m6!1s0x52d244e31f759225:0x50dd98bb5c333b51!8m2!3d45.4645771!4d-98.4884079!16s%2Fg%2F1v0lkf86!19sChIJJZJ1H-NE0lIRUTszXLuY3VA?authuser=0&hl=en&rclk=1
Hieb Jack H,+1 605-225-6310,,5.0,,Lawyer,"1 Court St, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Hieb+Jack+H/data=!4m7!3m6!1s0x52d244e3350c132d:0x45edf46b6c0fcf6b!8m2!3d45.4649647!4d-98.4852956!16s%2Fg%2F1thx3pxy!19sChIJLRMMNeNE0lIRa88PbGv07UU?authuser=0&hl=en&rclk=1
Buckley Britton A,+1 360-533-3357,,,,Lawyer,"Old World Bldg, 100 S I St #202, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Buckley+Britton+A/data=!4m7!3m6!1s0x54923a1926a07017:0x99eddbb507acd89a!8m2!3d46.975516!4d-123.81714!16s%2Fg%2F1tnl12zc!19sChIJF3CgJhk6klQRmtisB7Xb7Zk?authuser=0&hl=en&rclk=1
Spencer Michael G,+1 360-532-1960,,,,Lawyer,"101 E Market St # 501, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Spencer+Michael+G/data=!4m7!3m6!1s0x54923a192c0f093d:0x9c04d8d9027fc2da!8m2!3d46.9751055!4d-123.8181052!16s%2Fg%2F1td3r648!19sChIJPQkPLBk6klQR2sJ_AtnYBJw?authuser=0&hl=en&rclk=1
Northwest Justice Project Aberdeen Office,+1 360-533-2282,https://nwjustice.org/,3.4,,Law firm,"218 N Broadway St #1, Aberdeen, WA 98520, United States ",https://www.google.com/maps/place/Northwest+Justice+Project+Aberdeen+Office/data=!4m7!3m6!1s0x54923a18b4bbc171:0x7caaa2144c41d943!8m2!3d46.976528!4d-123.820064!16s%2Fg%2F1264f0qfj!19sChIJccG7tBg6klQRQ9lBTBSiqnw?authuser=0&hl=en&rclk=1
Drew C Johnson Law Office,+1 605-225-5895,http://www.drewjohnsonlaw.net/,4.2,,Law firm,"517 S Lincoln St, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Drew+C+Johnson+Law+Office/data=!4m7!3m6!1s0x52d2456be95f47bf:0xc06f6251d8ae60f3!8m2!3d45.4594738!4d-98.4863851!16s%2Fg%2F1tdn3rgk!19sChIJv0df6WtF0lIR82Cu2FFib8A?authuser=0&hl=en&rclk=1
Vogel Ryan,+1 605-225-5420,,,,Lawyer,"415 S Main St #400, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Vogel+Ryan/data=!4m7!3m6!1s0x52d244e21d11c2d5:0x3a7e8f915ce8260e!8m2!3d45.4604793!4d-98.4878138!16s%2Fg%2F1tplpzn2!19sChIJ1cIRHeJE0lIRDiboXJGPfjo?authuser=0&hl=en&rclk=1
"David J. Fransen, Attorney at Law",+1 605-226-8234,,,,Bankruptcy attorney,"1307 7th Ave SW, Aberdeen, SD 57401, United States ","https://www.google.com/maps/place/David+J.+Fransen,+Attorney+at+Law/data=!4m7!3m6!1s0x52d245140d312287:0xae8351664ea2fcd9!8m2!3d45.4579195!4d-98.5075836!16s%2Fg%2F11xnpx4kb9!19sChIJhyIxDRRF0lIR2fyiTmZRg64?authuser=0&hl=en&rclk=1"
Bantz Gosch & Cremer LLC: Wager Ronald A,+1 605-225-2232,https://bantzlaw.com/,,,Lawyer,"305 6th Ave SE, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Bantz+Gosch+%26+Cremer+LLC:+Wager+Ronald+A/data=!4m7!3m6!1s0x52d244e13af75629:0xf5f410d34373a336!8m2!3d45.459228!4d-98.4831289!16s%2Fg%2F1tjxf9lj!19sChIJKVb3OuFE0lIRNqNzQ9MQ9PU?authuser=0&hl=en&rclk=1
Gellhaus & Gellhaus P.C.,+1 605-225-6522,https://www.gellhauslaw.com/,4.7,,Law firm,"120 S Lincoln St, Aberdeen, SD 57401, United States ",https://www.google.com/maps/place/Gellhaus+%26+Gellhaus+P.C./data=!4m7!3m6!1s0x52d244e31d530a6f:0x189eb4078dd34494!8m2!3d45.4634626!4d-98.4867675!16s%2Fg%2F1tfql0xt!19sChIJbwpTHeNE0lIRlETTjQe0nhg?authuser=0&hl=en&rclk=1
